Messwert;CAS-Nr;Grenzwert;Kontextinfo
Ammonium-N [mg/l];14798-03-9;0,5;Ammonium (NH₄⁺) ist die protonierte, nicht toxische Form des Stickstoffs, die im Gleichgewicht mit Ammoniak in Wasser vorkommt. <br><br><br> **> Nährstoffverfügbarkeit** <br><br> Ammonium dient als wichtiger Stickstofflieferant für Algen und Wasserpflanzen und beeinflusst die Primärproduktion. <br><br><br> **> Umwandlung** <br><br> Durch Nitrifikation wird NH₄⁺ mikrobiell zu Nitrit (NO₂⁻) und Nitrat (NO₃⁻) umgesetzt, was den Nährstoffkreislauf im Gewässer steuert. <br><br><br> **> Wechselwirkung mit pH** <br><br> Bei niedrigem pH überwiegt die Ammoniumform, die wenig toxisch ist. Steigt der pH, wandelt sich ein Teil in toxisches Ammoniak um, wodurch indirekt toxische Effekte entstehen können. <br><br><br> **> Ökologische Konsequenzen** <br><br> Hohe Ammonium-Konzentrationen fördern Algenwachstum, können aber bei gleichzeitig hohem pH und warmer Temperatur die toxische NH₃-Konzentration erhöhen, was Tiere belastet und die Artenzusammensetzung verändert.
Nitrit NO2 [mg/l];14797-65-0;0,1;Nitrit ist eine intermediäre Stickstoffverbindung im Stickstoffkreislauf, die durch die Oxidation von Ammonium (NH₄⁺) während der Nitrifikation entsteht. Es kommt als Gesamtnitrit (NO₂⁻ gesamt) und als nitrogenspezifisches Nitrit (NO₂⁻-N) zur Messung. <br><br><br> **> Toxizität** <br><br> Nitrit ist giftig für Fische und Wirbellose, da es die Sauerstoffaufnahme im Blut hemmt (Bildung von Methämoglobin). Besonders empfindlich sind Jungfische und Larven. <br><br><br> **> Chemische Prozesse** <br><br> Nitrit entsteht aus Ammonium und kann weiter zu Nitrat (NO₃⁻) oxidiert werden. Bei unzureichendem Sauerstoff (anoxische Bedingungen) kann Nitrit auch zu gasförmigem Stickstoff (N₂) reduziert werden. <br><br><br> **> Ökologische Konsequenzen** <br><br> Erhöhte Nitritwerte führen zu toxischem Stress, vermindertem Wachstum und Fortpflanzung und können die Artenzusammensetzung stark verändern. Gleichzeitig ist Nitrit ein wichtiger Indikator für biologische Prozesse wie Nitrifikation und anthropogene Einträge von Stickstoff.
Nitrit-N [mg/l];14797-65-0;0,03;Nitrit ist eine intermediäre Stickstoffverbindung im Stickstoffkreislauf, die durch die Oxidation von Ammonium (NH₄⁺) während der Nitrifikation entsteht. Es kommt als Gesamtnitrit (NO₂⁻ gesamt) und als nitrogenspezifisches Nitrit (NO₂⁻-N) zur Messung. <br><br><br> **> Toxizität** <br><br> Nitrit ist giftig für Fische und Wirbellose, da es die Sauerstoffaufnahme im Blut hemmt (Bildung von Methämoglobin). Besonders empfindlich sind Jungfische und Larven. <br><br><br> **> Chemische Prozesse** <br><br> Nitrit entsteht aus Ammonium und kann weiter zu Nitrat (NO₃⁻) oxidiert werden. Bei unzureichendem Sauerstoff (anoxische Bedingungen) kann Nitrit auch zu gasförmigem Stickstoff (N₂) reduziert werden. <br><br><br> **> Ökologische Konsequenzen** <br><br> Erhöhte Nitritwerte führen zu toxischem Stress, vermindertem Wachstum und Fortpflanzung und können die Artenzusammensetzung stark verändern. Gleichzeitig ist Nitrit ein wichtiger Indikator für biologische Prozesse wie Nitrifikation und anthropogene Einträge von Stickstoff.
Nitrat NO3 [mg/l];14797-38-3;50;Nitrat ist das Endprodukt der Nitrifikation und die wichtigste verfügbare Stickstoffquelle für Pflanzen und Algen. Auch hier wird zwischen Gesamtnitrat (NO₃⁻ gesamt) und nitrogenspezifischem Nitrat (NO₃⁻-N) unterschieden. <br><br><br> **> Nährstoffverfügbarkeit** <br><br> Nitrat dient als essenzieller Nährstoff für Phytoplankton und Makrophyten. Hohe Nitratkonzentrationen fördern das Algenwachstum und können zur Eutrophierung führen. <br><br><br> **> Chemische Prozesse** <br><br> Nitrat ist relativ stabil, kann aber unter anaeroben Bedingungen durch Denitrifikation zu gasförmigem Stickstoff (N₂) reduziert werden. <br><br><br> **> Ökologische Konsequenzen** <br><br> Nitratüberschüsse verändern die Artenzusammensetzung: Algen- und Pflanzendominanz steigt, empfindliche Arten von Tieren können zurückgehen. Gleichzeitig kann die biologische Aktivität den Sauerstoffgehalt im Wasser beeinflussen, insbesondere nachts oder bei starken Algenblüten.
Nitrat-N [mg/l];14797-38-3;11,3;Nitrat ist das Endprodukt der Nitrifikation und die wichtigste verfügbare Stickstoffquelle für Pflanzen und Algen. Auch hier wird zwischen Gesamtnitrat (NO₃⁻ gesamt) und nitrogenspezifischem Nitrat (NO₃⁻-N) unterschieden. <br><br><br> **> Nährstoffverfügbarkeit** <br><br> Nitrat dient als essenzieller Nährstoff für Phytoplankton und Makrophyten. Hohe Nitratkonzentrationen fördern das Algenwachstum und können zur Eutrophierung führen. <br><br><br> **> Chemische Prozesse** <br><br> Nitrat ist relativ stabil, kann aber unter anaeroben Bedingungen durch Denitrifikation zu gasförmigem Stickstoff (N₂) reduziert werden. <br><br><br> **> Ökologische Konsequenzen** <br><br> Nitratüberschüsse verändern die Artenzusammensetzung: Algen- und Pflanzendominanz steigt, empfindliche Arten von Tieren können zurückgehen. Gleichzeitig kann die biologische Aktivität den Sauerstoffgehalt im Wasser beeinflussen, insbesondere nachts oder bei starken Algenblüten.
Phosphat ortho PO4 [mg/l];14265-44-2;0,15;Orthophosphat ist die biologisch verfügbare Form des Phosphors und der limitierende Nährstoff in vielen Süßwasserökosystemen. <br><br><br> **> Nährstoffverfügbarkeit** <br><br> Phosphat wird direkt von Algen und Wasserpflanzen aufgenommen und ist entscheidend für Wachstum und Photosynthese. <br><br><br> **> Anthropogene Einträge** <br><br> Über Dünger, Abwasser oder Erosion kann der Phosphatgehalt steigen, was zu Eutrophierung und Algenblüten führt. <br><br><br> **> Chemische Prozesse** <br><br> Phosphat kann sich im Sediment an Mineralstoffe binden oder bei Änderungen von pH und Sauerstoff mobilisiert werden. Unter sauerstoffarmen Bedingungen kann gebundenes Phosphat wieder freigesetzt werden, was die Nährstoffbelastung verstärkt. <br><br><br> **> Ökologische Konsequenzen** <br><br> Hohe Phosphatkonzentrationen führen zu vermehrtem Algenwachstum, reduzieren Lichtverfügbarkeit für tiefere Wasserpflanzen, verändern Sauerstoffverhältnisse (durch Nachtatmung und Zersetzung) und beeinflussen die Artenzusammensetzung und Stabilität des Ökosystems.
Strömungsgeschwindigkeit [m/s];;;Die Strömungsgeschwindigkeit eines Gewässers beeinflusst physikalische, chemische und biologische Prozesse und hat somit direkte Auswirkungen auf die Lebensgemeinschaften. <br><br><br> **> Sauerstoffverteilung** <br><br> Schnell fließendes Wasser fördert die Durchmischung und den Gasaustausch, wodurch mehr Sauerstoff ins Wasser gelangt. In Stillgewässern kann eine geringe Strömung die Sauerstoffkonzentration in tiefen Schichten reduzieren. <br><br><br> **> Transport von Nährstoffen und Schadstoffen** <br><br> Strömung beeinflusst die Mobilisierung und Verteilung von Mineralstoffen, organischen Stoffen und Schadstoffen im Gewässer. Eine hohe Strömung kann Nährstoffe schneller abtransportieren, während geringe Strömung zu Sedimentation und Anreicherung führen kann. <br><br><br> **> Biologische Effekte** <br><br> Viele Wasserorganismen, insbesondere Fische und Invertebraten, sind an bestimmte Strömungsverhältnisse angepasst. Veränderungen der Strömung können die Habitatnutzung, Fortpflanzung und Nahrungsaufnahme beeinflussen. <br><br><br> **> Ökologische Konsequenzen** <br><br> Eine veränderte Strömungsgeschwindigkeit kann die Artenzusammensetzung verändern, indem sie Strömungsliebende Arten begünstigt und weniger anpassungsfähige Arten benachteiligt.
Biochemische Sauerstoffbedarf [mg/l];;5;Der biochemische Sauerstoffbedarf (BSB) beschreibt die Menge an Sauerstoff, die benötigt wird, um organische Stoffe im Wasser durch mikrobiellen Abbau vollständig zu oxidieren. Er ist ein zentraler Indikator für die Belastung eines Gewässers mit organischer Substanz. <br><br><br> **> Chemische Prozesse** <br><br> Hoher BSB zeigt an, dass viele organische Stoffe vorhanden sind, die durch Mikroorganismen abgebaut werden. Dieser Prozess verbraucht Sauerstoff, insbesondere in tieferen Wasserschichten oder in stagnierenden Bereichen. <br><br><br> **> Biologische Effekte** <br><br> Steigender BSB kann zu Sauerstoffmangel (Hypoxie) führen, was den Stoffwechsel, das Wachstum und die Fortpflanzung von Fischen, Invertebraten und anderen aeroben Organismen stark einschränkt. <br><br><br> **> Ökologische Konsequenzen** <br><br> Bereiche mit hohem BSB sind häufig durch veränderte Artenzusammensetzung gekennzeichnet: tolerantere Arten überleben, empfindliche Arten sterben ab, und die Biodiversität nimmt ab.
Biochemische Sauerstoffbedarf Rest Sauerstoff [%];;;Der Rest-Sauerstoff beschreibt die Sauerstoffmenge, die nach der vollständigen mikrobiellen Zersetzung organischer Stoffe noch im Wasser verbleibt. Er gibt Auskunft über die ökologische Belastung und den Lebensraum für aerobe Organismen. <br><br><br> **> Biologische Bedeutung** <br><br> Ein hoher Rest-Sauerstoffwert zeigt an, dass trotz Belastung genügend Sauerstoff für Fische, Invertebraten und andere Organismen verfügbar ist. Ein niedriger Rest-Sauerstoffwert signalisiert kritische Sauerstoffverhältnisse, die zu Stress oder Mortalität führen können. <br><br><br> **> Indikator für Wasserqualität** <br><br> Rest-Sauerstoff dient als Maß für die Selbstreinigungsfähigkeit eines Gewässers. Niedrige Werte deuten auf Überlastung durch organische Substanz hin. <br><br><br> **> Ökologische Konsequenzen** <br><br> Gewässer mit dauerhaft niedrigem Rest-Sauerstoff weisen oft veränderte Lebensgemeinschaften, reduzierte Artenvielfalt und eine Dominanz toleranter Arten auf.
Säure- Bindungsvermögen [mmol/l];;;Das Säure-Bindungsvermögen (auch Alkalität) eines Gewässers beschreibt die Fähigkeit des Wassers, Säuren zu neutralisieren, und ist ein entscheidender Puffer gegen pH-Schwankungen. <br><br><br> **> Chemische Prozesse** <br><br> Ein hohes Säure-Bindungsvermögen verhindert starke pH-Abfälle durch saure Einträge (z. B. saurer Regen oder organische Säuren) und stabilisiert die chemischen Lebensbedingungen. <br><br><br> **> Biologische Effekte** <br><br> Organismen reagieren empfindlich auf schnelle oder starke pH-Änderungen. Ein ausreichendes Säure-Bindungsvermögen schützt Fische, Wirbellose und Wasserpflanzen vor Stress durch Säureeinträge. <br><br><br> **> Ökologische Konsequenzen** <br><br> Gewässer mit niedrigem Säure-Bindungsvermögen sind anfälliger für Versauerung, was zu einem Rückgang empfindlicher Arten, veränderter Artenzusammensetzung und reduzierter Biodiversität führen kann.
Gesamthärte [mmol/l];;;Die Gesamthärte beschreibt die Konzentration von Calcium- und Magnesiumionen im Wasser und ist ein Maß für die Mineralstoffversorgung. <br><br><br> **> Chemische Prozesse** <br><br> Hartes Wasser stabilisiert die chemischen Eigenschaften des Gewässers, beeinflusst die Löslichkeit von Metallen und Nährstoffen und trägt zur Pufferung gegen Säureeinträge bei. <br><br><br> **> Biologische Effekte** <br><br> Viele aquatische Organismen benötigen Calcium und Magnesium für Skelett- und Schalenbildung, Zellstoffwechsel und Enzymfunktionen. Weiches Wasser kann insbesondere für Arten mit kalkhaltigen Schalen stressig oder toxisch sein, wenn gleichzeitig andere Schadstoffe mobilisiert werden. <br><br><br> **> Ökologische Konsequenzen** <br><br> Die Gesamthärte beeinflusst die Artenzusammensetzung: in harten Gewässern können Kalkliebende Arten dominieren, während in weichen Gewässern Arten toleranter gegenüber niedrigen Mineralstoffkonzentrationen überwiegen. Außerdem wirkt sie indirekt auf die Stabilität des Ökosystems durch Einfluss auf Pufferkapazität und Schadstoffmobilität.
Gesamthärte [°dH];;;Die Gesamthärte beschreibt die Konzentration von Calcium- und Magnesiumionen im Wasser und ist ein Maß für die Mineralstoffversorgung. <br><br><br> **> Chemische Prozesse** <br><br> Hartes Wasser stabilisiert die chemischen Eigenschaften des Gewässers, beeinflusst die Löslichkeit von Metallen und Nährstoffen und trägt zur Pufferung gegen Säureeinträge bei. <br><br><br> **> Biologische Effekte** <br><br> Viele aquatische Organismen benötigen Calcium und Magnesium für Skelett- und Schalenbildung, Zellstoffwechsel und Enzymfunktionen. Weiches Wasser kann insbesondere für Arten mit kalkhaltigen Schalen stressig oder toxisch sein, wenn gleichzeitig andere Schadstoffe mobilisiert werden. <br><br><br> **> Ökologische Konsequenzen** <br><br> Die Gesamthärte beeinflusst die Artenzusammensetzung: in harten Gewässern können Kalkliebende Arten dominieren, während in weichen Gewässern Arten toleranter gegenüber niedrigen Mineralstoffkonzentrationen überwiegen. Außerdem wirkt sie indirekt auf die Stabilität des Ökosystems durch Einfluss auf Pufferkapazität und Schadstoffmobilität.

